REPOSITORY                                                                  TAG                                                                IMAGE ID       CREATED         SIZE
lazzaro-ongs                                                                prod1                                                              02b0bdcfc5de   6 weeks ago     1.02GB
cdk-1e7d11076f5ca93402107526e8ccbfcecd28b4d6bd13215b19ffaf7f5efd2ab2        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-31d2d98bc37874a4e9edc7fb0395ae461035e8ae069df196aab1e5ad84cb5316        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-3e1dbdcd4e110ce26fdb8620708b9a74fee63223b83cf14eb76d880ff6fd3415        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-8131dd7899571e4fc403bbfae90a19ad5b69f5b04b17c680da9b0b501248ed62        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-94a29c26b0a156c1181ce0f0497231ff51f0927606e8a5b54160680c6581a289        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-a3142ad56c28903f605db8cd1da90bdcbbb8064e34f3cdf8c81548449f1b0fca        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-a44bfaa09c8e9aa3a839f280372e3ecd435deec00a5a14bd727f0865e712cbb2        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-122a156651e3d80ef3cb5b003539d05365f338a16620e00fb1c764259bb188ca        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-cb823df944525ba4181328af2fc8a7246fd6e8fff0b4ece97b38179a7e0cacbe        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-aea7819f3a976d06eabba3ac104a3b60761630a1a48e834423a0488fe5c03a5f        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-6d212c973e22e7704ef05e793408b25702775782d1d07b2f00b3058480b64715        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-4ff9e5db3b8ff7d67b0c28acaa77941fdef9177f6ca287e0c1083c9287f8940d        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-5fedc41e3a69fc1aff3accd0d5477b3f56b4aeeb3bfda373e22036dae1f11221        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-45f6f3cdc8498fa1e4297006e5e87a3408374278add08fccdd5d8cac791f6871        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-4322b95d207055de095a47e84db65796788d61cd14243c1997a89a964bfc0ffa        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-6f67341e463058bf08ed3c92f13131c70adce0a8915beb811eb7fd489a56d3a9        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-b973e0583df53de485e4e82d7617c85c4ffde64fadb415e82fd7f7e5a49f2944        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-e5b27ac55f4fbd690eaebcc732e36d31a4285ec516b4c3cbeccec40bbc9d9b46        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-1af89e47b6af78a241372f95f11d104d9a50ace4b5546fe2404f5efe355ad398        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-340cf5d23affc47cd88b7ef3daa372aff4a8e5d57e5a52dc5de4424797199bc4        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-42cc7d8f75f07c62f633dec2a84c349b3600b9cae5bdac068e2f2a461fbdb917        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-adc811841d9408ffe517a971d5156303123f8b30e2c1541f0ba8da04668b7a94        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-18278b585b2676c1c1392bb8b446df8ee34e5a6021533a48f518ac02869e4820        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-7e829279d19e17a61449c824b4d9a87ec50a201853d5bf91d625bcec6ef5dce2        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-a09b700446dbb6548461bc3e07fdd1b4f0c02b9c9200cf73b8623c4da6616d6d        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-cc7e95d194561b6b058d2b715434caaeed6b4055927024657eeb68daf6004539        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-2464150747adfaf6f805adeb07a5af772455091b5f7809e0d0a9793cb2658ba9        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-ac8651cf953b11672e87edda2762072daf5c179ec6b2b6123ac5ee9d03bba7bf        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-ba57d1d36b6df2e24b3161f04214906cf665d5cbcfbfee4e0b7ccd2fab4df3aa        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-f03d423a937e485e9f6efae70d32d832bed07761b6815f43ff263b9c44c93f0a        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-71bbb153ddff8f44870cfd2da06a6ab9bb707805a4e54dfb6907ccb8a7e4fe16        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-7081369b0daf932072a801b54ec36ffd2da7482f0e6b18a78b7eaf484a404e2c        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-d4496d81443f129acc7c596cf1929661a136456b82b8ecbed83b754f006f829c        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-eaa7749c47e10ba7b1cb206bb8212789cd813a3212400ad9455d21c405829cdd        latest                                                             1c5ea526d41d   4 months ago    2.52GB
cdk-4a80025a33d9e57d1ab169c8a980312871eee5ee3554b18d2d4720ed515ebbaf        latest                                                             1c5ea526d41d   4 months ago    2.52GB
lazzaro-ongs-pruebanueva                                                    pre1                                                               776853f7f835   5 months ago    998MB
lazzaro-ongs-pruebanueva                                                    pre                                                                70c9f64b298f   5 months ago    998MB
pruebaong                                                                   v1                                                                 1cb80b994728   5 months ago    998MB
lazzaro-base-api                                                            pre_v1.1                                                           3be2ea4025a4   5 months ago    1.26GB
lazzaro-base-api                                                            pre_v1                                                             8e206a9b2387   5 months ago    1.26GB
lazzaro-base-api                                                            pre                                                                840337b826cc   5 months ago    1.26GB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/ecr-dev-ecs-cluster         v1                                                                 0614ee6ab763   5 months ago    1.26GB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/lazzaro-back-repo-pre       v1                                                                 0614ee6ab763   5 months ago    1.26GB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/lazzaro-back-repo-prod      v1                                                                 0614ee6ab763   5 months ago    1.26GB
lazzaro-base-api                                                            6june21_v1                                                         0614ee6ab763   5 months ago    1.26GB
504171812720.dkr.ecr.eu-west-1.amazonaws.com/x-ray                          1.0                                                                0d6a4140752a   6 months ago    434MB
xray                                                                        v1                                                                 0d6a4140752a   6 months ago    434MB
730139607634.dkr.ecr.eu-west-1.amazonaws.com/python                         latest                                                             5b3b4504ff1f   6 months ago    886MB
python                                                                      latest                                                             5b3b4504ff1f   6 months ago    886MB
109139691401.dkr.ecr.us-east-1.amazonaws.com/uva_ws_repository              <none>                                                             f6d44ab9644e   6 months ago    133MB
109139691401.dkr.ecr.us-east-1.amazonaws.com/uva_ws_repository              user_service                                                       66539767f25f   6 months ago    133MB
user_service                                                                ass32                                                              66539767f25f   6 months ago    133MB
edreinoso23/uva_ws_user_service                                             3.2                                                                852355274342   6 months ago    133MB
edreinoso23/uva_ws_user_service                                             latest                                                             852355274342   6 months ago    133MB
uva_ws_url_service                                                          ass3.1v1                                                           024d08ba36b8   6 months ago    137MB
109139691401.dkr.ecr.us-east-1.amazonaws.com/uva_ws_repository              ass3.1v1                                                           264612af5fc0   6 months ago    135MB
uva_ws_user_service                                                         ass3.1v1                                                           264612af5fc0   6 months ago    135MB
lazzaro-ongs-template                                                       v9                                                                 332c76834ed8   6 months ago    968MB
user-service                                                                python3.8slim                                                      8d58b92d4a64   6 months ago    140MB
lazzaro-ongs-template                                                       v8                                                                 b458faa1da7a   7 months ago    967MB
lazzaro-ongs-template                                                       v7                                                                 8d6047571369   7 months ago    967MB
lazzaro-ongs-template                                                       v6                                                                 665158437a64   7 months ago    967MB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/lazzaro-front-repo          client4                                                            8fc656e6950d   7 months ago    967MB
lazzaro-ongs-template                                                       v5                                                                 8fc656e6950d   7 months ago    967MB
url-short-service                                                           latest                                                             62b251095dca   7 months ago    127MB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/lazzaro-front-repo          v4                                                                 7b6534f86275   7 months ago    967MB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/lazzaro-front-repo          v3                                                                 b6335128e74b   7 months ago    967MB
lazzaro-ongs-template                                                       v4                                                                 b6335128e74b   7 months ago    967MB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/lazzaro-front-repo          v2                                                                 cb02938640ec   7 months ago    967MB
lazzaro-ongs-template                                                       v3                                                                 cb02938640ec   7 months ago    967MB
aws-cdk-bin                                                                 latest                                                             a2bdaff36581   7 months ago    1.08GB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/lazzaro-front-repo          v1                                                                 9d6583aa26fb   7 months ago    967MB
lazzaro-ongs-template                                                       v2                                                                 9d6583aa26fb   7 months ago    967MB
lazzaro-ongs-template                                                       v1                                                                 914586773620   7 months ago    967MB
109139691401.dkr.ecr.us-east-1.amazonaws.com/uva_ws_repository              url_v3                                                             27f23b735ca4   7 months ago    150MB
uva_ws_url_service                                                          3.3                                                                27f23b735ca4   7 months ago    150MB
109139691401.dkr.ecr.us-east-1.amazonaws.com/uva_ws_repository              user_v3                                                            8c745129ee04   7 months ago    150MB
uva_ws_user_service                                                         3.9                                                                8c745129ee04   7 months ago    150MB
uva_ws_url_service                                                          3.0                                                                09fb2f3ad683   7 months ago    134MB
uva_ws_user_service                                                         3.6                                                                2bdf6c7c624e   7 months ago    150MB
